Bing Spatial Data Services, 2.0
Id, GeocodeRequest/Culture, GeocodeRequest/Query, GeocodeRequest/Address/AddressLine, GeocodeRequest/Address/AdminDistrict, GeocodeRequest/Address/CountryRegion, GeocodeRequest/Address/AdminDistrict2, GeocodeRequest/Address/FormattedAddress, GeocodeRequest/Address/Locality, GeocodeRequest/Address/PostalCode, GeocodeRequest/Address/PostalTown, GeocodeRequest/ConfidenceFilter/MinimumConfidence,ReverseGeocodeRequest/IncludeEntityTypes, ReverseGeocodeRequest/Location/Latitude, ReverseGeocodeRequest/Location/Longitude, GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/CountryRegion, GeocodeResponse/Address/AdminDistrict2, GeocodeResponse/Address/FormattedAddress, GeocodeResponse/Address/Locality, GeocodeResponse/Address/PostalCode, GeocodeResponse/Address/PostalTown, GeocodeResponse/Address/Neighborhood, GeocodeResponse/Address/Landmark, GeocodeResponse/Confidence, GeocodeResponse/Name, GeocodeResponse/EntityType, GeocodeResponse/MatchCodes, GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/BoundingBox/SouthLatitude, GeocodeResponse/BoundingBox/WestLongitude,GeocodeResponse/BoundingBox/NorthLatitude,GeocodeResponse/BoundingBox/EastLongitude, GeocodeResponse/QueryParseValues, GeocodeResponse/GeocodePoints, StatusCode, FaultReason, TraceId
132,en-US,"100 Jay Street ,  Brooklyn, NY"
133,en-US,"65-05 Yellowstone Boulevard ,  Queens, NY"
134,en-US,"118 East 60th Street ,  Manhattan, NY"
135,en-US,"372 Central Park West ,  Manhattan, NY"
136,en-US,"645 East 11th Street ,  Manhattan, NY"
137,en-US,"220 Riverside Boulevard ,  Manhattan, NY"
138,en-US,"37 Bridge Street ,  Brooklyn, NY"
139,en-US,"46 Bergen Street ,  Brooklyn, NY"
140,en-US,"377 Rector Place ,  Manhattan, NY"
141,en-US,"350 West 42nd Street ,  Manhattan, NY"
142,en-US,"240 Park Avenue South ,  Manhattan, NY"
143,en-US,"42-25 80th Street ,  Queens, NY"
144,en-US,"215 East 80th Street ,  Manhattan, NY"
145,en-US,"166 Duane Street ,  Manhattan, NY"
146,en-US,"20 West Street ,  Manhattan, NY"
147,en-US,"215 West 91st Street ,  Manhattan, NY"
148,en-US,"80 Winthrop Street ,  Brooklyn, NY"
149,en-US,"4555 Henry Hudson Parkway ,  Bronx, NY"
150,en-US,"112-01 Queens Boulevard ,  Queens, NY"
151,en-US,"303 Greenwich Street ,  Manhattan, NY"
152,en-US,"304 West 88th Street ,  Manhattan, NY"
153,en-US,"38 East 85th Street ,  Manhattan, NY"
154,en-US,"63-60 102nd Street ,  Queens, NY"
155,en-US,"425 3rd Street ,  Brooklyn, NY"
156,en-US,"327 East 93rd Street ,  Manhattan, NY"
157,en-US,"61-55 98th Street ,  Queens, NY"
158,en-US,"118-17 Union Turnpike ,  Queens, NY"
159,en-US,"720 Ft. Washington Avenue ,  Manhattan, NY"
160,en-US,"130 East 67th Street ,  Manhattan, NY"
161,en-US,"250 East 87th Street ,  Manhattan, NY"
162,en-US,"330 East 75th Street ,  Manhattan, NY"
163,en-US,"411 West End Avenue ,  Manhattan, NY"
164,en-US,"1175 York Avenue ,  Manhattan, NY"
165,en-US,"2190 Brigham Street ,  Brooklyn, NY"
166,en-US,"2940 West 5th Street ,  Brooklyn, NY"
167,en-US,"32 West 18th Street ,  Manhattan, NY"
168,en-US,"630 First Avenue ,  Manhattan, NY"
169,en-US,"555 Kappock Street ,  Bronx, NY"
170,en-US,"200-210 East 65th Street ,  Manhattan, NY"
171,en-US,"305 East 24th Street ,  Manhattan, NY"
172,en-US,"385 Argyle Road ,  Brooklyn, NY"
173,en-US,"182 Huron Street ,  Brooklyn, NY"
174,en-US,"60 West 68th Street ,  Manhattan, NY"
175,en-US,"25 Sutton Place South ,  Manhattan, NY"
176,en-US,"35-20 Leverich Street ,  Queens, NY"
177,en-US,"333 East 14th Street ,  Manhattan, NY"
178,en-US,"310 East 46th Street ,  Manhattan, NY"
179,en-US,"188 East 64th Street ,  Manhattan, NY"
180,en-US,"170 West End Avenue,  Manhattan, NY"
181,en-US,"28 Metropolitan Oval ,  Bronx, NY"
